Model_Name,Model_link
"HP 15s-eq1578AU AMD Athlon 3050U 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15s-eq1578au-amd-athlon-3050u-fhd-laptop
"DOEL T10 Core i3 10th Gen 14"" FHD Laptop",https://www.startech.com.bd/doel-t10-core-i3-10th-gen-laptop
"Walton Passion BX310U Core i3 10th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/walton-passion-bx310u-core-i3-10th-gen-laptop
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-1-15ada7-ryzen-3-fhd-laptop
"Dell Vostro 14 3400 Core i3 11th Gen 14"" HD Laptop",https://www.startech.com.bd/dell-vostro-14-3400-laptop
"Lenovo IdeaPad Slim 1 15AMN7 Ryzen 3 7320U 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-1-15amn7-ryzen-3-7320u-fhd-laptop
ASUS D415DA Ryzen 3 3250U 14-inch HD Laptop,https://www.startech.com.bd/asus-d415da-ryzen-3-3250u-hd-laptop
"ASUS VivoBook 15 M515DA Ryzen 3 3250U 15.6"" HD Laptop",https://www.startech.com.bd/asus-vivobook-15-m515da-ryzen-3-3250u-hd-laptop
"ASUS VivoBook 15 X515JA Core i3 10th Gen 512GB SSD 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x515ja-i3-10th-gen-fhd-laptop
"ASUS VivoBook 15 X515EA Core i3 11th Gen 15.6"" FHD WV Laptop",https://www.startech.com.bd/asus-vivobook-15-x515ea-i3-11th-gen-laptop
"ASUS VivoBook 15 X515EA Core i3 11th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x515ea-i3-11th-gen-15-6-inch-fhd-laptop
"Microsoft Surface Go 2 Pentium Gold 4GB RAM 64GB SSD 10.5"" Touch Laptop",https://www.startech.com.bd/microsoft-surface-go-2-pentium-gold-laptop
"Lenovo IdeaPad Slim 3i 11th Gen Core i3 256GB SSD 15.6"" Full HD Laptop with Windows 11",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-fhd-gen-256gb-ssd-laptop
"Lenovo V14 Core i3 11th Gen 14"" Full HD Laptop",https://www.startech.com.bd/lenovo-v14-core-i3-11th-gen-full-hd-laptop
"Acer Aspire 3 A315-24P Ryzen 3 7320U 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-3-a315-24p-ryzen-3-7320u-laptop
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 4GB RAM 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-gen-laptop
"Dell Vostro 14 3400 Core i3 11th Gen 14"" HD Laptop Backlit Keyboard with 256GB SSD+1TB HDD (03 Years Warranty)",https://www.startech.com.bd/dell-vostro-14-3400-core-i3-hd-laptop
"Acer Extensa 15 EX215-23 AMD Ryzen 3 7320U 15.6"" Laptop",https://www.startech.com.bd/acer-extensa-15-ex215-23-amd-ryzen-3-7320u-laptop
"ASUS VivoBook 15 D515DA Ryzen 3 3250U 15.6"" FHD Laptop with Windows 11",https://www.startech.com.bd/asus-vivobook-15-d515da-ryzen-3-laptop
"MSI Modern 14 C11M Core i3 11th Gen 14"" FHD Laptop",https://www.startech.com.bd/msi-modern-14-c11m-core-i3-11th-gen-fhd-laptop
"ASUS VivoBook 15 D515DA Ryzen 3 3250U 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-d515da-ryzen-3-3250u-laptop
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 14"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-gen-14-inch-fhd-laptop
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 14"" FHD Laptop Abyss Blue",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-gen-14-inch-fhd-laptop-abyss-blue
"HP 15s-eq2618AU Ryzen 3 5300U 15.6"" HD Laptop",https://www.startech.com.bd/hp-15s-eq2618au-ryzen-3-5300u-laptop
"ASUS VivoBook 15 X515EA Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x515ea-core-i3-11th-gen-fhd-laptop
"Lenovo IdeaPad Slim 3i 11th Gen Core i3 8GB RAM 14"" FHD Laptop with Windows 11",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-fhd-gen-8gb-ram-14-inch-laptop
"Walton Tamarind MX311G Core i3 11th Gen 14"" FHD Laptop",https://www.startech.com.bd/walton-tamarind-mx311g-core-i3-11th-gen-laptop
"Acer Aspire 3 A315-59 Core i3 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-3-a315-59-core-i3-12th-gen-laptop
"Acer A315-59-390P Core i3 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/acer-a315-59-390p-core-i3-12th-gen-fhd-laptop
"Acer Aspire 3 A315-59-34TO Core i3 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-3-a315-59-34to-core-i3-12th-gen-fhd-laptop
"Acer Aspire 3 A315-59-39P4 Core i3 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-3-a315-59-39p4-core-i3-12th-gen-fhd-laptop
"HP 15s-fq5486TU Core i3 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15s-fq5486tu-core-i3-12th-gen-laptop
"Dell Inspiron 15 3525 Ryzen 3 5425U 15.6"" FHD Laptop",https://www.startech.com.bd/dell-inspiron-15-3525-ryzen-3-5425u-fhd-laptop
"Acer Aspire 3 A315-510P Core i3-N305 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-3-a315-510p-core-i3-n305-laptop
"Asus ExpertBook B1 B1500CEAE Core i3 11th Gen 1TB HDD 15.6"" FHD Laptop",https://www.startech.com.bd/asus-expertbook-b1-b1500ceae-core-i3-fhd-laptop
"ASUS VivoBook 15 X515EA Core i3 11th Gen 8GB RAM 512GB SSD 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x515ea-core-i3-laptop
"Acer TravelMate TMP214-53 Core i3 11th Gen 8GB RAM 14"" FHD Laptop",https://www.startech.com.bd/acer-travelmate-tmp214-53-core-i3-11th-gen-fhd-laptop
"ASUS VivoBook 15 X515JA Core i5 10th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x515ja-core-i5-10th-gen-fhd-laptop
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 512GB SSD 14"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-i3-11th-gen-14-inch-fhd-laptop
"Acer Aspire 3 A315-24P Ryzen 5 7520U 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-3-a315-24p-ryzen-5-7520u-laptop
"ASUS VivoBook 15 X1500EA Core i3 11th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x1500ea-core-i3-11th-gen-laptop
"ASUS VivoBook 15 X1500EA Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x1500ea-core-i3-11th-gen-fhd-laptop
"ASUS VivoBook 15 X515JA Core i5 10th Gen 8GB RAM 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x515ja-core-i5-laptop
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 256GB SSD 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x1502za-core-i3-12th-gen-fhd-laptop
"Huawei MateBook D15 Core i3 11th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/huawei-matebook-d15-core-i3-11th-gen-laptop
"HUAWEI MateBook B3-520 Core i3 11th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/huawei-matebook-b3-520-core-i3-11th-gen-laptop
"Walton Passion BX510U Core i5 10th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/walton-passion-bx510u-core-i5-10th-gen-laptop
"HP 15s-fq5786TU Core i3 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15s-fq5786tu-core-i3-12th-gen-laptop
"Dell Inspiron 15 3520 Core i3 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/dell-inspiron-15-3520-core-i3-fhd-laptop
"ASUS VivoBook 15 X515JA Core i5 10th Gen 15.6"" FHD Laptop with 256GB SSD+1TB HDD",https://www.startech.com.bd/asus-vivobook-15-x515ja-i5-10th-gen-fhd-laptop
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 8GB RAM 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x1502za-i3-12th-gen-fhd-laptop
"Asus Vivobook S15 S513EA Core i3 11th Gen 4GB RAM 15.6"" OLED FHD Laptop",https://www.startech.com.bd/asus-vivobook-s15-s513ea-core-i3-11th-gen-oled-fhd-laptop
"Lenovo K14 Core i3 11th Gen 14"" FHD Business Series Laptop",https://www.startech.com.bd/lenovo-k14-core-i3-11th-gen-laptop
"Lenovo IP Slim 3 15ABR8 Ryzen 5 15.6"" FHD Laptop (Ram Not Upgradable)",https://www.startech.com.bd/lenovo-ideapad-slim-3-15abr8-ryzen-5-7530u-fhd-laptop
"Acer Aspire 5 5P-A515-58P Core i3 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-5-5p-a515-58p-i3-13th-gen-laptop
"Acer TravelMate P214-53 Core i5 11th Gen 14"" FHD Laptop",https://www.startech.com.bd/acer-travelmate-p214-53-core-i5-11th-gen-laptop
"Lenovo IdeaPad Gaming 3 15ARH7 Ryzen 5 7535HS RTX 4050 6GB Graphics 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-gaming-3-15arh7-ryzen-5-7535hs-fhd-laptop
"Lenovo IdeaPad 3 Ryzen 7 5700U 15.6"" FHD Laptop with Windows 11",https://www.startech.com.bd/lenovo-ideapad-3-ryzen-7-laptop
"ASUS VivoBook 15 X515EA Core i5 11th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x515ea-i5-11th-gen-laptop
"ASUS VivoBook 14 X1402ZA Core i3 12th Gen 14"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-14-x1402za-core-i3-12th-gen-fhd-laptop
"Lenovo IP Slim 3 15ABR8 Ryzen 7 15.6"" FHD Laptop (Ram Not Upgradable)",https://www.startech.com.bd/lenovo-ideapad-slim-3-15abr8-ryzen-7-7730u-fhd-laptop
"Lenovo IdeaPad Gaming 3 15ARH7 Ryzen 7 7735HS RTX 3050 6GB Graphics 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-gaming-3-15arh7-ryzen-7-7735hs-fhd-laptop
"ASUS TUF Gaming A16 Advantage Edition Ryzen 7 7735HS RX 7600S 8GB Graphics 16"" QHD Laptop",https://www.startech.com.bd/asus-tuf-gaming-a16-advantage-edition-ryzen-7-7735hs-laptop
"Asus ExpertBook B1 B1500CEAE Core i3 11th Gen 8GB RAM 15.6"" FHD Laptop",https://www.startech.com.bd/asus-expertbook-b1-b1500ceae-core-i3-11th-gen-fhd-laptop
"Lenovo IdeaPad Gaming 3 15ARH7 Ryzen 7 7735HS RTX 4050 6GB Graphics 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-gaming-3-15arh7-ryzen-7-7735hs-laptop
"Asus Vivobook S15 S513EA Core i3 11th Gen 15.6"" OLED FHD Laptop",https://www.startech.com.bd/asus-vivobook-s15-s513ea-core-i3-11th-gen-oled-laptop
"Lenovo Legion 7 16ACHg6 Ryzen 7 5800H RTX 3080 16GB Graphics 16"" 165Hz Gaming Laptop",https://www.startech.com.bd/lenovo-legion-7-16achg6-ryzen-7-5800h-gaming-laptop
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x1502za-core-i3-12th-gen-laptop
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Soft Lavender",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-soft-lavender
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Infinite Black",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-infinite-black
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Star Silver",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-star-silver
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Aqua Blue",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-aqua-blue
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Anchor Grey",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-anchor-grey
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Golden Matt Black",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-golden-matt-black
"Dell Inspiron 15 3525 Ryzen 5 5625U 15.6"" FHD Laptop",https://www.startech.com.bd/dell-inspiron-15-3525-ryzen-5-fhd-laptop
"Acer Aspire 5 A515-56G Core i5 11th Gen MX450 2GB Graphics 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-5-a515-56g-core-i5-15-6-inch-laptop
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Flowers on Yellow",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-flowers-on-yellow
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Iris on Ruby",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-iris-on-ruby
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Paisley on Lilac",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-paisley-on-lilac
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Snowflakes on Azure Blue",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-snowflakes-on-azure-blue
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Snowflakes on Mountain Blue",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-snowflakes-on-mountain-blue
"Realme Book Core i5 11th Gen 14"" 2k UHD Laptop",https://www.startech.com.bd/realme-book-core-i5-laptop
"Realme Book Prime Core i5 11th Gen 14"" 2K UHD Laptop",https://www.startech.com.bd/realme-book-prime-core-i5-laptop
"Lenovo IdeaPad Slim 3i Core i5 11th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-i5-11th-gen-fhd-laptop
"Lenovo IdeaPad Slim 3i 11th Gen Core i5 15.6"" FHD IPS Display Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-11th-gen-i5-laptop
"Walton Tamarind MX511G Core i5 11th Gen 14"" FHD Laptop",https://www.startech.com.bd/walton-tamarind-mx511g-core-i5-11th-gen-laptop
"Lenovo IdeaPad Slim 3i 11th Gen Core i5 15.6"" FHD Laptop with 3 Years Warranty",https://www.startech.com.bd/lenovo-ideapad-slim-3i-11th-gen-core-i5-fhd-laptop
"Lenovo IdeaPad Slim 3i Core i5 11th Gen 14"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i5-11th-gen-fhd-laptop
"Acer Aspire 3 A315-59-5031 Core i5 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-3-a315-59-5031-i5-12th-gen-laptop
"Acer Aspire 3 A315-59-57VA Core i5 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-3-a315-59-57va-i5-12th-gen-laptop
"Acer Aspire 3 A315-59-50J9 Core i5 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-3-a315-59-50j9-i5-12th-gen-laptop
